Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas1        Pavarde1       10     9      2      9      7      3      3      3      8      9      3      3      6      10     3      9      
Vardas2        Pavarde2       7      1      5      7      5      0      10     0      1      3      2      2      10     4      0      5      
Vardas3        Pavarde3       4      3      5      8      0      3      6      10     3      2      2      0      7      7      9      4      
Vardas4        Pavarde4       6      3      7      6      2      3      2      0      4      2      4      1      9      0      5      6      
Vardas5        Pavarde5       7      8      3      4      8      0      2      8      6      3      4      1      10     6      0      3      
Vardas6        Pavarde6       0      1      5      1      2      4      2      3      6      8      8      9      10     3      8      8      
Vardas7        Pavarde7       8      10     4      6      8      3      8      6      8      10     1      8      8      0      6      3      
Vardas8        Pavarde8       7      7      0      6      2      8      7      2      1      8      0      7      2      6      7      10     
Vardas9        Pavarde9       3      7      3      6      7      4      2      0      8      9      9      7      7      5      9      0      
Vardas10       Pavarde10      1      9      3      3      7      6      0      6      3      3      2      6      1      3      1      1      
Vardas11       Pavarde11      2      7      8      3      2      5      6      7      3      1      3      9      3      6      2      5      
Vardas12       Pavarde12      6      0      8      0      10     7      1      9      0      3      8      1      6      7      4      9      
Vardas13       Pavarde13      3      3      0      10     7      10     4      3      2      7      4      9      7      1      8      0      
Vardas14       Pavarde14      0      10     10     3      7      9      0      6      2      4      8      5      1      3      3      5      
Vardas15       Pavarde15      4      9      3      3      6      9      0      4      1      1      7      5      9      10     3      3      
Vardas16       Pavarde16      6      9      1      5      9      9      5      8      6      10     10     1      5      2      10     8      
Vardas17       Pavarde17      8      0      6      8      6      10     9      8      1      1      5      10     6      5      1      1      
Vardas18       Pavarde18      2      4      0      5      10     6      4      5      10     6      6      8      9      2      0      1      
Vardas19       Pavarde19      1      2      7      9      5      2      6      9      8      5      1      3      6      2      9      1      
Vardas20       Pavarde20      5      6      0      8      0      3      8      10     3      2      2      8      2      10     3      10     
Vardas21       Pavarde21      8      5      5      2      8      1      8      10     7      9      1      5      1      7      9      10     
Vardas22       Pavarde22      3      3      5      10     10     9      5      8      5      7      4      6      9      5      5      6      
Vardas23       Pavarde23      3      6      8      8      4      9      6      1      9      10     2      6      1      10     7      0      
Vardas24       Pavarde24      9      8      8      1      1      8      4      9      10     6      7      2      7      10     4      9      
Vardas25       Pavarde25      6      10     5      0      4      10     6      4      2      8      9      4      2      6      0      6      
Vardas26       Pavarde26      3      5      1      9      10     4      7      4      2      9      0      2      8      8      10     5      
